nombre,código,"Cod. Materia",Semestre,Grupo,,,"Descripcion Evaluacion",Porcentaje,Descripcion,"Nom. Materia",,Nota,"Nota Definitiva"

Aarón,0,ST0242,20142,34,,,"Análisis del problema",5,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,0,26

Aarón,0,ST0242,20142,34,,,"Segundo parcial",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,38,26

Aarón,0,ST0242,20142,34,,,Quices,10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,50,26

Aarón,0,ST0242,20142,34,,,"Diseño del problema",5,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,0,26

Aarón,0,ST0242,20142,34,,,"Primer parcial",10,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,43,26

Aarón,0,ST0242,20142,34,,,"Sustentación. Fecha del examen final.",20,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,10,26

Aarón,0,ST0242,20142,34,,,Tareas,20,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,29,26

Aarón,0,ST0242,20142,34,,,"Tercer parcial",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,20,26

Abdón,1,ST0242,20142,34,,,"Segundo parcial",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,30,32

Abdón,1,ST0242,20142,34,,,"Sustentación. Fecha del examen final.",20,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,35,32

Abdón,1,ST0242,20142,34,,,Quices,10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,50,32

Abdón,1,ST0242,20142,34,,,"Diseño del problema",5,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,40,32

Abdón,1,ST0242,20142,34,,,"Tercer parcial",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,34,32

Abdón,1,ST0242,20142,34,,,Tareas,20,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,22,32

Abdón,1,ST0242,20142,34,,,"Análisis del problema",5,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,40,32

Abdón,1,ST0242,20142,34,,,"Primer parcial",10,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,17,32

Abel,2,ST0242,20142,33,,,"Parcial número 1",10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,38,44

Abel,2,ST0242,20142,33,,,"Parcial número 3",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,35,44

Abel,2,ST0242,20142,33,,,"Práctica Final",30,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,49,44

Abel,2,ST0242,20142,33,,,"Quizzes semanales",10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,40,44

Abel,2,ST0242,20142,33,,,"Parcial número 2",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,50,44

Abel,2,ST0242,20142,33,,,"Talleres semanales",20,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,45,44

Abelardo,3,ST0242,20142,33,,,"Parcial número 2",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,45,46

Abelardo,3,ST0242,20142,33,,,"Parcial número 1",10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,50,46

Abelardo,3,ST0242,20142,33,,,"Quizzes semanales",10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,30,46

Abelardo,3,ST0242,20142,33,,,"Parcial número 3",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,45,46

Abelardo,3,ST0242,20142,33,,,"Práctica Final",30,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,50,46

Abelardo,3,ST0242,20142,33,,,"Talleres semanales",20,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,46,46

Abrahán,4,ST0242,20142,34,,,"Sustentación. Fecha del examen final.",20,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,43,39

Abrahán,4,ST0242,20142,34,,,Tareas,20,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,48,39

Abrahán,4,ST0242,20142,34,,,"Segundo parcial",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,31,39

Abrahán,4,ST0242,20142,34,,,"Análisis del problema",5,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,40,39

Abrahán,4,ST0242,20142,34,,,"Primer parcial",10,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,22,39

Abrahán,4,ST0242,20142,34,,,Quices,10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,50,39

Abrahán,4,ST0242,20142,34,,,"Tercer parcial",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,36,39

Abrahán,4,ST0242,20142,34,,,"Diseño del problema",5,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,40,39

Absalón,5,ST0242,20142,34,,,"Segundo parcial",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,17,27

Absalón,5,ST0242,20142,34,,,"Primer parcial",10,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,20,27

Absalón,5,ST0242,20142,34,,,"Sustentación. Fecha del examen final.",20,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,34,27

Absalón,5,ST0242,20142,34,,,"Análisis del problema",5,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,28,27

Absalón,5,ST0242,20142,34,,,Tareas,20,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,27,27

Absalón,5,ST0242,20142,34,,,"Tercer parcial",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,18,27

Absalón,5,ST0242,20142,34,,,"Diseño del problema",5,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,30,27

Absalón,5,ST0242,20142,34,,,Quices,10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,50,27

Acacio,6,ST0242,20142,34,,,Quices,10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,50,35

Acacio,6,ST0242,20142,34,,,"Primer parcial",10,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,50,35

Acacio,6,ST0242,20142,34,,,"Tercer parcial",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,23,35

Acacio,6,ST0242,20142,34,,,"Análisis del problema",5,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,35,35

Acacio,6,ST0242,20142,34,,,"Segundo parcial",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,18,35

Acacio,6,ST0242,20142,34,,,"Sustentación. Fecha del examen final.",20,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,47,35

Acacio,6,ST0242,20142,34,,,"Diseño del problema",5,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,40,35

Acacio,6,ST0242,20142,34,,,Tareas,20,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,26,35

Adalberto,7,ST0242,20142,33,,,"Parcial número 1",10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,43,48

Adalberto,7,ST0242,20142,33,,,"Práctica Final",30,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,49,48

Adalberto,7,ST0242,20142,33,,,"Parcial número 3",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,50,48

Adalberto,7,ST0242,20142,33,,,"Quizzes semanales",10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,50,48

Adalberto,7,ST0242,20142,33,,,"Talleres semanales",20,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,44,48

Adalberto,7,ST0242,20142,33,,,"Parcial número 2",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,50,48

Adán,8,ST0242,20142,34,,,Quices,10,2-SEGUIMIENTO,"FUNDAMENTOS DE PROGRAMACIÓN",,50,41

Adán,8,ST0242,20142,34,,,"Análisis del problema",5,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,45,41

Adán,8,ST0242,20142,34,,,"Sustentación. Fecha del examen final.",20,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,50,41

Adán,8,ST0242,20142,34,,,"Primer parcial",10,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,29,41

Adán,8,ST0242,20142,34,,,"Diseño del problema",5,"4-TRABAJO FINAL","FUNDAMENTOS DE PROGRAMACIÓN",,45,41

Adán,8,ST0242,20142,34,,,"Tercer parcial",15,1-PARCIAL,"FUNDAMENTOS DE PROGRAMACIÓN",,39,41

